"source","target","value"
"Urjala","Akaa",1
"Urjala","Iisalmi",1
"Urjala","Pori",1
"Urjala","Tampere",2
"Urjala","Tuusula",1
"Akaa","Urjala",4
"Forssa","Urjala",2
"Huittinen","Urjala",2
"Humppila","Urjala",1
"Hyvinkää","Urjala",1
"Hämeenlinna","Urjala",10
"Kauniainen","Urjala",1
"Kokemäki","Urjala",2
"Lappeenranta","Urjala",1
"Lempäälä","Urjala",1
"Nokia","Urjala",4
"Nurmijärvi","Urjala",1
"Punkalaidun","Urjala",6
"Riihimäki","Urjala",2
"Tampere","Urjala",3
"Valkeakoski","Urjala",1
"Vantaa","Urjala",2
